"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",6801.14,62.01,10.30,-2.37%,106227058
2,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",7280.00,,96.81,-8.83%,14962137
3,"AAON","AAON Inc","Industrials","Building Products & Equipment","USA",6837.84,64.82,83.90,-3.63%,769146
4,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA",3108.97,71.00,51.73,-1.77%,2175982
5,"AAUC","Allied Gold Corp","Basic Materials","Gold","Canada",3855.47,,31.08,-1.08%,339893
6,"AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA",3515.11,12.69,38.09,0.34%,235779
7,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",5103.24,12.53,75.18,-0.17%,466244
8,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",3783.41,7.84,196.46,-0.12%,231225
9,"ABM","ABM Industries Inc","Industrials","Specialty Business Services","USA",2269.32,15.28,38.77,0.26%,886198
10,"ABVX","Abivax ADR","Healthcare","Biotechnology","France",9144.14,,115.50,-1.27%,701954
11,"ACA","Arcosa Inc","Industrials","Engineering & Construction","USA",5182.97,24.94,105.68,-1.35%,266213
12,"ACAD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology","USA",3513.89,9.01,20.61,-3.10%,1553287
13,"ACHC","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities","USA",2168.82,,23.52,-2.59%,2770781
14,"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",4489.57,,6.03,-1.95%,23285528
15,"ACI","Albertsons Companies Inc","Consumer Defensive","Grocery Stores","USA",8875.28,11.12,17.27,2.37%,4419046
16,"ACIW","ACI Worldwide Inc","Technology","Software - Infrastructure","USA",4045.40,18.35,39.77,-1.63%,535551
17,"ACLS","Axcelis Technologies Inc","Technology","Semiconductor Equipment & Materials","USA",2555.50,21.91,83.19,-2.34%,829180
18,"ACLX","Arcellx Inc","Healthcare","Biotechnology","USA",6689.51,,114.39,0.09%,818326
19,"ACMR","ACM Research Inc","Technology","Semiconductor Equipment & Materials","USA",3048.45,33.82,46.38,2.45%,923181
20,"ACT","Enact Holdings Inc","Financial","Insurance - Specialty","USA",5729.90,8.96,40.49,-0.17%,335115
21,"AD","Array Digital Infrastructure Inc","Communication Services","Telecom Services","USA",4165.63,14.45,48.21,0.37%,177240
22,"ADC","Agree Realty Corp","Real Estate","REIT - Retail","USA",9506.24,44.84,79.20,-0.58%,1671860
23,"ADEA","Adeia Inc","Technology","Software - Application","USA",2485.31,23.15,22.79,-0.35%,1270436
24,"ADMA","Adma Biologics Inc","Healthcare","Biotechnology","USA",3608.11,25.29,15.15,1.07%,2875846
25,"ADPT","Adaptive Biotechnologies Corp","Healthcare","Biotechnology","USA",2027.94,,13.17,5.78%,3902533
26,"ADT","ADT Inc","Industrials","Security & Protection Services","USA",5256.98,9.64,6.41,0.47%,9898382
27,"ADX","Adams Diversified Equity Fund","Financial","Closed-End Fund - Equity","USA",2749.44,5.64,22.44,-0.58%,204328
28,"AEO","American Eagle Outfitters Inc","Consumer Cyclical","Apparel Retail","USA",2980.02,15.71,17.58,0.11%,4590900
29,"AGCO","AGCO Corp","Industrials","Farm & Heavy Construction Machinery","USA",8584.54,12.17,118.57,-1.08%,555476
30,"AGO","Assured Guaranty Ltd","Financial","Insurance - Specialty","Bermuda",3747.83,8.16,83.38,0.25%,375535
31,"AGX","Argan, Inc","Industrials","Engineering & Construction","USA",6358.32,54.02,458.31,-0.22%,302525
32,"AHR","American Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",9911.81,127.87,52.16,0.06%,3066690
33,"AIR","AAR Corp","Industrials","Aerospace & Defense","USA",4032.83,39.65,101.91,-1.80%,425398
34,"AIT","Applied Industrial Technologies Inc","Industrials","Industrial Distribution","USA",9536.37,24.33,255.65,-1.63%,309635
35,"AKR","Acadia Realty Trust","Real Estate","REIT - Retail","USA",2686.49,214.13,20.15,-1.42%,1041447
36,"AL","Air Lease Corp","Industrials","Rental & Leasing Services","USA",7228.52,6.93,64.52,-0.15%,4154143
37,"ALG","Alamo Group Inc","Industrials","Farm & Heavy Construction Machinery","USA",2070.07,19.87,170.78,0.37%,117144
38,"ALGM","Allegro Microsystems Inc","Technology","Semiconductors","USA",5768.10,,31.13,-0.10%,1156590
